Event,Site,Date,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,Variant,TimeControl,ECO,Termination
Rated bullet game,https://lichess.org/YNuTAWk8,2023.12.21,thomas123456,GranFaraonI,0-1,2023.12.21,15:03:26,2142,2125,-6,+6,Standard,60+0,C57,Normal
Rated bullet game,https://lichess.org/YTm71tKW,2023.12.21,lukely,thomas123456,1-0,2023.12.21,15:01:35,2159,2147,+6,-5,Standard,60+0,C25,Time forfeit
Rated bullet game,https://lichess.org/NSZVYBIb,2023.12.21,thomas123456,Alish_chess,1-0,2023.12.21,14:59:36,2142,2091,+5,-5,Standard,60+0,B00,Normal
Rated bullet game,https://lichess.org/m7oYeDrO,2023.12.21,Nelron,thomas123456,0-1,2023.12.21,14:57:39,2147,2136,-6,+6,Standard,60+0,C46,Time forfeit
Rated bullet game,https://lichess.org/PuwRAtta,2023.12.21,Eizenhot,thomas123456,1-0,2023.12.21,13:24:18,2122,2143,+6,-7,Standard,60+0,A01,Normal
Rated bullet game,https://lichess.org/Scjft0ZW,2023.12.19,yyuyu3,thomas123456,1-0,2023.12.19,13:35:04,2138,2148,+6,-5,Standard,60+0,A40,Normal
Rated bullet game,https://lichess.org/PuYRUHNv,2023.12.19,thomas123456,yyuyu3,0-1,2023.12.19,13:32:45,2154,2132,-6,+6,Standard,60+0,B10,Time forfeit
Rated bullet game,https://lichess.org/GhJoltHC,2023.12.19,thomas123456,IAmAfterYouShimon,0-1,2023.12.19,13:30:43,2161,2111,-7,+7,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/S6DzMwgO,2023.12.19,Achozion,thomas123456,0-1,2023.12.19,13:28:34,2103,2156,-4,+5,Standard,60+0,C20,Time forfeit
Rated bullet game,https://lichess.org/4UwrgvEW,2023.12.19,Arahorn,thomas123456,0-1,2023.12.19,13:26:20,2070,2151,-4,+5,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/8hn45YDD,2023.12.18,thomas123456,CosmoGolden,0-1,2023.12.18,10:40:52,2157,2161,-6,+6,Standard,60+0,C41,Normal
Rated bullet game,https://lichess.org/1xUDNae7,2023.12.18,CosmoGolden,thomas123456,0-1,2023.12.18,10:39:14,2167,2151,-6,+6,Standard,60+0,C77,Normal
Rated bullet game,https://lichess.org/XUlHq9cz,2023.12.18,thomas123456,CosmoGolden,0-1,2023.12.18,10:37:14,2157,2161,-6,+6,Standard,60+0,C21,Normal
Rated bullet game,https://lichess.org/BR4J5KmW,2023.12.18,CosmoGolden,thomas123456,0-1,2023.12.18,10:35:04,2167,2151,-6,+6,Standard,60+0,C77,Time forfeit
Rated bullet game,https://lichess.org/nZ7eIju0,2023.12.18,thomas123456,CosmoGolden,0-1,2023.12.18,10:32:48,2156,2162,-5,+5,Standard,60+0,C41,Time forfeit
Rated bullet game,https://lichess.org/lzPEl89m,2023.12.18,CosmoGolden,thomas123456,1-0,2023.12.18,10:31:02,2156,2162,+6,-6,Standard,60+0,B06,Normal
Rated bullet game,https://lichess.org/GWPVKrD8,2023.12.18,thomas123456,CosmoGolden,1-0,2023.12.18,10:28:45,2156,2162,+6,-6,Standard,60+0,C41,Time forfeit
Rated bullet game,https://lichess.org/7e6VXIrz,2023.12.18,leshamdi,thomas123456,1-0,2023.12.18,10:27:23,2131,2162,+6,-6,Standard,60+0,A40,Normal
Rated bullet game,https://lichess.org/ilhNQkRi,2023.12.18,thomas123456,kingslaver,0-1,2023.12.18,10:25:44,2168,2162,-6,+6,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/LvdnOA2V,2023.12.18,kingslaver,thomas123456,1-0,2023.12.18,10:23:51,2156,2174,+6,-6,Standard,60+0,D02,Normal
Rated bullet game,https://lichess.org/3qeKzgSS,2023.12.18,thomas123456,kingslaver,1-0,2023.12.18,10:22:05,2168,2162,+6,-6,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/zParFh4B,2023.12.18,thomas123456,Miladtiami27,1-0,2023.12.18,10:20:06,2163,2154,+5,-6,Standard,60+0,B06,Normal
Rated bullet game,https://lichess.org/vcg1K8Tr,2023.12.18,thomas123456,BovasMathew,1-0,2023.12.18,10:17:42,2157,2152,+6,-5,Standard,60+0,B02,Time forfeit
Rated bullet game,https://lichess.org/zEXwW1Pw,2023.12.18,BovasMathew,thomas123456,1-0,2023.12.18,10:15:56,2146,2163,+6,-6,Standard,60+0,C23,Normal
Rated bullet game,https://lichess.org/CApRL6xs,2023.12.18,thomas123456,alexzvo,1-0,2023.12.18,10:14:17,2158,2119,+5,-5,Standard,60+0,B00,Normal
Rated bullet game,https://lichess.org/sKeRR2zo,2023.12.18,alexzvo,thomas123456,0-1,2023.12.18,10:12:07,2125,2153,-6,+5,Standard,60+0,A00,Normal
Rated bullet game,https://lichess.org/qEt6uWfl,2023.12.18,thomas123456,alexzvo,0-1,2023.12.18,10:09:51,2159,2118,-6,+7,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/fSdcmd5d,2023.12.18,alexzvo,thomas123456,0-1,2023.12.18,10:07:48,2123,2154,-5,+5,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/mcoSR6pM,2023.12.18,thomas123456,alexzvo,1-0,2023.12.18,10:05:39,2148,2129,+6,-6,Standard,60+0,B00,Normal
Rated bullet game,https://lichess.org/oGVQjXYX,2023.12.18,vetongacaferi,thomas123456,0-1,2023.12.18,10:03:20,2136,2143,-5,+5,Standard,60+0,D00,Time forfeit
Rated bullet game,https://lichess.org/ZOrx6iZg,2023.12.18,rongi1010,thomas123456,1-0,2023.12.18,09:37:05,2208,2147,+5,-4,Standard,60+0,D37,Normal
Rated bullet game,https://lichess.org/O1jYBxJu,2023.12.18,JCarRoBar77,thomas123456,0-1,2023.12.18,09:34:48,2159,2141,-6,+6,Standard,60+0,C30,Time forfeit
Rated bullet game,https://lichess.org/JqqVbPrx,2023.12.18,thomas123456,JCarRoBar77,0-1,2023.12.18,09:32:33,2147,2154,-6,+5,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/XTrIoaxT,2023.12.18,thomas123456,vucicicovic,1-0,2023.12.18,09:30:27,2141,2130,+6,-5,Standard,60+0,B02,Time forfeit
Rated bullet game,https://lichess.org/XYssF0EI,2023.12.18,vucicicovic,thomas123456,1-0,2023.12.18,09:28:19,2124,2147,+6,-6,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/qtKZ7XcG,2023.12.18,thomas123456,vucicicovic,1-0,2023.12.18,09:26:29,2142,2130,+5,-6,Standard,60+0,B02,Time forfeit
Rated bullet game,https://lichess.org/wRexyIth,2023.12.18,vucicicovic,thomas123456,1-0,2023.12.18,09:26:03,2124,2148,+6,-6,Standard,60+0,A00,Normal
Rated bullet game,https://lichess.org/nefECIwK,2023.12.18,thomas123456,vucicicovic,0-1,2023.12.18,09:23:59,2154,2117,-6,+7,Standard,60+0,A05,Time forfeit
Rated bullet game,https://lichess.org/6gZxBSxg,2023.12.17,WizZiE123,thomas123456,0-1,2023.12.17,12:38:05,2134,2149,-6,+5,Standard,60+0,A40,Normal
Rated bullet game,https://lichess.org/s6YZZrtX,2023.12.17,mollenhauer,thomas123456,0-1,2023.12.17,12:35:52,2112,2143,-5,+6,Standard,60+0,A40,Time forfeit
Rated bullet game,https://lichess.org/gFEC5cTC,2023.12.17,thomas123456,mollenhauer,1-0,2023.12.17,12:34:19,2138,2118,+5,-6,Standard,60+0,B21,Normal
Rated bullet game,https://lichess.org/XNFO5LB8,2023.12.17,mollenhauer,thomas123456,0-1,2023.12.17,12:32:29,2123,2132,-5,+6,Standard,60+0,A40,Normal
Rated bullet game,https://lichess.org/2FXhhLtU,2023.12.17,thomas123456,mollenhauer,1-0,2023.12.17,12:31:25,2126,2129,+6,-6,Standard,60+0,B32,Normal
Rated bullet game,https://lichess.org/9fDkt8WY,2023.12.17,mollenhauer,thomas123456,1-0,2023.12.17,12:30:06,2123,2132,+6,-6,Standard,60+0,A40,Normal
Rated bullet game,https://lichess.org/4BFJlbD1,2023.12.15,Ddenissss,thomas123456,0-1,2023.12.15,15:18:42,2129,2127,-6,+5,Standard,60+0,C60,Normal
Rated bullet game,https://lichess.org/1az2TxMG,2023.12.15,thomas123456,Ddenissss,0-1,2023.12.15,15:16:36,2132,2123,-5,+6,Standard,60+0,C44,Time forfeit
Rated bullet game,https://lichess.org/3vIMdLmj,2023.12.15,kobayashi3,thomas123456,1-0,2023.12.15,15:15:32,2113,2139,+6,-7,Standard,60+0,A40,Normal
Rated bullet game,https://lichess.org/51thwKg0,2023.12.15,thomas123456,kobayashi3,1-0,2023.12.15,15:13:19,2133,2119,+6,-6,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/kpBjpLNA,2023.12.15,solfasollu,thomas123456,0-1,2023.12.15,15:11:07,2142,2127,-6,+6,Standard,60+0,B06,Time forfeit
Rated bullet game,https://lichess.org/DQZ5deej,2023.12.15,thomas123456,Sutarno_BKD,1-0,2023.12.15,15:08:53,2121,2119,+6,-6,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/HivJWKNG,2023.12.15,kidCharlemagne29,thomas123456,1-0,2023.12.15,15:07:44,2185,2126,+5,-5,Standard,60+0,D05,Normal
Rated bullet game,https://lichess.org/f7gWs7o2,2023.12.15,thomas123456,Kokololo,0-1,2023.12.15,15:06:06,2132,2124,-6,+6,Standard,60+0,B72,Normal
Rated bullet game,https://lichess.org/qFjYwVmY,2023.12.15,Kokololo,thomas123456,0-1,2023.12.15,15:03:46,2130,2126,-6,+6,Standard,60+0,A40,Time forfeit
Rated bullet game,https://lichess.org/vRfW8iyJ,2023.12.15,thomas123456,Ilhom12025,1-0,2023.12.15,15:02:22,2120,2134,+6,-6,Standard,60+0,C53,Normal
Rated bullet game,https://lichess.org/STPyrC8O,2023.12.15,Filemona,thomas123456,0-1,2023.12.15,15:01:55,2125,2114,-6,+6,Standard,60+0,A40,Normal
Rated bullet game,https://lichess.org/9MKKJH0o,2023.12.15,thomas123456,Om_jek17,1-0,2023.12.15,10:59:28,2109,2087,+5,-5,Standard,60+0,B02,Time forfeit
Rated bullet game,https://lichess.org/x1NJ7F2q,2023.12.15,Om_jek17,thomas123456,0-1,2023.12.15,10:57:19,2093,2103,-6,+6,Standard,60+0,C25,Time forfeit
Rated bullet game,https://lichess.org/xzWOfXI1,2023.12.15,thomas123456,Om_jek17,0-1,2023.12.15,10:55:06,2109,2087,-6,+6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/EOXvVJKq,2023.12.15,Om_jek17,thomas123456,0-1,2023.12.15,10:52:47,2092,2104,-5,+5,Standard,60+0,A00,Normal
Rated bullet game,https://lichess.org/c5Bk1J8u,2023.12.15,thomas123456,Om_jek17,1-0,2023.12.15,10:50:41,2098,2098,+6,-6,Standard,60+0,B02,Time forfeit
Rated bullet game,https://lichess.org/Pi2TmEmt,2023.12.15,thomas123456,aryan2563,0-1,2023.12.15,10:48:35,2103,2105,-5,+6,Standard,60+0,B13,Time forfeit
Rated bullet game,https://lichess.org/bHRkCaFg,2023.12.15,joseantoniopaoyon,thomas123456,0-1,2023.12.15,10:46:17,2102,2098,-6,+5,Standard,60+0,C87,Time forfeit
Rated bullet game,https://lichess.org/0XRc2ao7,2023.12.15,thomas123456,Achchar,0-1,2023.12.15,10:44:09,2103,2115,-5,+6,Standard,60+0,C01,Time forfeit
Rated bullet game,https://lichess.org/QG3sQxvE,2023.12.15,Achchar,thomas123456,1-0,2023.12.15,10:42:02,2109,2109,+6,-6,Standard,60+0,C46,Time forfeit
Rated bullet game,https://lichess.org/6yH19qrD,2023.12.15,thomas123456,Achchar,1-0,2023.12.15,10:40:12,2103,2115,+6,-6,Standard,60+0,C00,Normal
Rated bullet game,https://lichess.org/tFkkLdAu,2023.12.15,Achchar,thomas123456,0-1,2023.12.15,10:38:26,2121,2097,-6,+6,Standard,60+0,C46,Normal
Rated bullet game,https://lichess.org/6LyUJiIq,2023.12.15,thomas123456,Achchar,0-1,2023.12.15,10:36:24,2102,2116,-5,+5,Standard,60+0,C00,Normal
Rated bullet game,https://lichess.org/5n6G9OUs,2023.12.15,Achchar,thomas123456,0-1,2023.12.15,10:34:32,2122,2096,-6,+6,Standard,60+0,C46,Normal
Rated bullet game,https://lichess.org/5pwIj322,2023.12.15,thomas123456,Achchar,1-0,2023.12.15,10:33:27,2089,2128,+7,-6,Standard,60+0,C01,Normal
Rated bullet game,https://lichess.org/MERkZI6R,2023.12.15,Achchar,thomas123456,1-0,2023.12.15,10:31:20,2123,2095,+5,-6,Standard,60+0,C46,Normal
Rated bullet game,https://lichess.org/ku330LAF,2023.12.15,thomas123456,v1ct0r_01,0-1,2023.12.15,10:29:12,2100,2120,-5,+5,Standard,60+0,C02,Time forfeit
Rated bullet game,https://lichess.org/GosNFncV,2023.12.15,Conmax,thomas123456,1-0,2023.12.15,10:19:11,2085,2106,+6,-6,Standard,60+0,A01,Normal
Rated bullet game,https://lichess.org/lWbvDhep,2023.12.15,thomas123456,Aron_Cabalza,0-1,2023.12.15,10:17:41,2112,2086,-6,+6,Standard,60+0,C00,Normal
Rated bullet game,https://lichess.org/W9LSzscb,2023.12.15,Starkbierhorstl,thomas123456,0-1,2023.12.15,10:16:14,2132,2106,-6,+6,Standard,60+0,A02,Normal
Rated bullet game,https://lichess.org/b8LkhLnA,2023.12.15,thomas123456,LimMinZhe,1-0,2023.12.15,10:14:44,2100,2116,+6,-6,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/r1M6kBSk,2023.12.14,saeid-6666,thomas123456,1-0,2023.12.14,17:41:36,2086,2106,+6,-6,Standard,60+0,B00,Normal
Rated bullet game,https://lichess.org/kekmWGCN,2023.12.14,thomas123456,saeid-6666,1-0,2023.12.14,17:39:38,2100,2091,+6,-5,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/Yb9SLtvO,2023.12.14,saeid-6666,thomas123456,1-0,2023.12.14,17:37:53,2085,2106,+6,-6,Standard,60+0,B06,Normal
Rated bullet game,https://lichess.org/hPMIuo31,2023.12.14,thomas123456,saeid-6666,1-0,2023.12.14,17:37:00,2101,2091,+5,-6,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/ucrcGLdh,2023.12.14,saeid-6666,thomas123456,1-0,2023.12.14,17:34:50,2085,2107,+6,-6,Standard,60+0,C21,Time forfeit
Rated bullet game,https://lichess.org/NUyl0i2b,2023.12.14,thomas123456,saeid-6666,1-0,2023.12.14,17:33:02,2101,2090,+6,-5,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/2Z8WB9PY,2023.12.14,saeid-6666,thomas123456,0-1,2023.12.14,17:31:01,2096,2095,-6,+6,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/VBPLkoCg,2023.12.14,MDMZ08,thomas123456,0-1,2023.12.14,17:29:55,2116,2089,-9,+6,Standard,60+0,C50,Normal
Rated bullet game,https://lichess.org/V5MCrNyC,2023.12.14,thomas123456,EZZELDEEN,1-0,2023.12.14,17:27:43,2083,2100,+6,-6,Standard,60+0,B13,Time forfeit
Rated bullet game,https://lichess.org/LYu4fr68,2023.12.14,Haminall,thomas123456,0-1,2023.12.14,17:25:29,2102,2077,-6,+6,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/hKyGYzQH,2023.12.14,thomas123456,Chaudhari987,0-1,2023.12.14,17:23:24,2082,2121,-5,+5,Standard,60+0,B13,Normal
Rated bullet game,https://lichess.org/XvWWQo6W,2023.12.14,oooo11111,thomas123456,1-0,2023.12.14,17:22:12,2084,2088,+6,-6,Standard,60+0,C45,Normal
Rated bullet game,https://lichess.org/KtpSZKBe,2023.12.14,DearBreeder,thomas123456,1-0,2023.12.14,17:20:08,2207,2092,+4,-4,Standard,60+0,C20,Time forfeit
Rated bullet game,https://lichess.org/3Xp9Qkpm,2023.12.14,thomas123456,DearBreeder,0-1,2023.12.14,17:18:29,2096,2203,-4,+4,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/zsbC1nBO,2023.12.14,DearBreeder,thomas123456,1-0,2023.12.14,17:16:33,2199,2100,+4,-4,Standard,60+0,C20,Time forfeit
Rated bullet game,https://lichess.org/VYOhGy6y,2023.12.14,thomas123456,Lesha_Pakki,0-1,2023.12.14,16:54:20,2106,2101,-6,+6,Standard,60+0,A06,Normal
Rated bullet game,https://lichess.org/a5RHiiYz,2023.12.14,Lesha_Pakki,thomas123456,1/2-1/2,2023.12.14,16:52:21,2101,2106,+0,+0,Standard,60+0,A00,Normal
Rated bullet game,https://lichess.org/aIwuU0Hx,2023.12.14,thomas123456,Lesha_Pakki,1-0,2023.12.14,16:50:25,2100,2107,+6,-6,Standard,60+0,B00,Normal
Rated bullet game,https://lichess.org/0JPFimCh,2023.12.14,Lesha_Pakki,thomas123456,0-1,2023.12.14,16:49:42,2113,2094,-6,+6,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/mTMbFw9Q,2023.12.14,thomas123456,Lesha_Pakki,0-1,2023.12.14,16:49:22,2099,2107,-5,+6,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/ZD3KKbWw,2023.12.14,Lesha_Pakki,thomas123456,1-0,2023.12.14,16:47:16,2101,2105,+6,-6,Standard,60+0,C46,Time forfeit
Rated bullet game,https://lichess.org/YOW76nko,2023.12.14,thomas123456,Lesha_Pakki,1-0,2023.12.14,16:45:14,2099,2107,+6,-6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/nsAYUm4a,2023.12.14,Lesha_Pakki,thomas123456,1-0,2023.12.14,16:44:05,2101,2105,+6,-6,Standard,60+0,C46,Normal
Rated bullet game,https://lichess.org/7GYwjiO4,2023.12.14,thomas123456,Lesha_Pakki,1-0,2023.12.14,16:43:31,2099,2107,+6,-6,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/pfjt6ZIt,2023.12.14,Lesha_Pakki,thomas123456,1-0,2023.12.14,16:41:37,2101,2105,+6,-6,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/apurSdjY,2023.12.14,thomas123456,Lesha_Pakki,1-0,2023.12.14,16:39:33,2099,2107,+6,-6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/eojsL0sR,2023.12.14,thomas123456,abdulaziz1111,1-0,2023.12.14,16:38:28,2094,2048,+5,-8,Standard,60+0,B00,Normal
Rated bullet game,https://lichess.org/h8gWpzof,2023.12.14,elo2090,thomas123456,0-1,2023.12.14,16:36:08,2086,2088,-6,+6,Standard,60+0,A04,Time forfeit
Rated bullet game,https://lichess.org/nOomQy6u,2023.12.14,thomas123456,elo2090,0-1,2023.12.14,16:34:12,2094,2080,-6,+6,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/BTI5huQo,2023.12.14,LanxGolit,thomas123456,1-0,2023.12.14,16:31:19,2157,2099,+4,-5,Standard,60+0,C50,Normal
Rated bullet game,https://lichess.org/9wufRwuQ,2023.12.14,thomas123456,LanxGolit,0-1,2023.12.14,16:29:15,2104,2152,-5,+5,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/fmHT5m9o,2023.12.14,GatoRabioso,thomas123456,0-1,2023.12.14,16:26:54,2093,2098,-6,+6,Standard,60+0,A40,Normal
Rated bullet game,https://lichess.org/OUp2CXhv,2023.12.14,dingiGM,thomas123456,0-1,2023.12.14,16:24:30,2078,2092,-5,+6,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/sSCAAv1N,2023.12.14,thomas123456,piotrwiecek,0-1,2023.12.14,16:23:50,2098,2096,-6,+6,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/hNqUrFl5,2023.12.14,ramsky34mendoza,thomas123456,0-1,2023.12.14,16:21:55,2138,2092,-6,+6,Standard,60+0,A40,Time forfeit
Rated bullet game,https://lichess.org/sf4yYB9d,2023.12.14,thomas123456,Fighter2080,0-1,2023.12.14,16:19:49,2097,2100,-5,+20,Standard,60+0,B27,Time forfeit
Rated bullet game,https://lichess.org/dJP4P7nP,2023.12.14,thomas123456,Joseybo,1-0,2023.12.14,16:17:37,2090,2149,+7,-7,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/2bX6LnwY,2023.12.14,Joseybo,thomas123456,1-0,2023.12.14,16:15:35,2144,2095,+5,-5,Standard,60+0,A20,Time forfeit
Rated bullet game,https://lichess.org/yMq3bbUs,2023.12.14,thomas123456,nikolast86,1-0,2023.12.14,16:13:26,2090,2061,+5,-6,Standard,60+0,B13,Time forfeit
Rated bullet game,https://lichess.org/alTQH8QQ,2023.12.14,kh1983,thomas123456,0-1,2023.12.14,16:11:53,2100,2084,-6,+6,Standard,60+0,A00,Normal
Rated bullet game,https://lichess.org/uyQnHbvM,2023.12.14,thomas123456,Philip25,0-1,2023.12.14,11:09:56,2089,2122,-5,+5,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/28SOD90f,2023.12.14,Philip25,thomas123456,1-0,2023.12.14,11:07:36,2117,2094,+5,-5,Standard,60+0,A21,Time forfeit
Rated bullet game,https://lichess.org/elw6c5PS,2023.12.14,thomas123456,Philip25,1-0,2023.12.14,11:05:20,2088,2123,+6,-6,Standard,60+0,A08,Time forfeit
